job_id,bucket,recommended_action,applied,application_date,status,follow_up_date,interview_date,offer_status,notes,score,company,title,location,state,source,apply_url,source_url,first_seen_at,last_seen_at,reasons
0de31940847e7292bc6ed0e0,B_APPLY_SOON,Apply within 48 hours after quick verification.,,,,,,,,62,Grab,Risk Data Analytics Intern,"Petaling Jaya, Selangor",Selangor,jsearch,https://my.trabajo.org/job-2267-f35a760d60461ce8ce949938e898ef39,https://www.google.com/search?q=jobs&gl=my&hl=en&udm=8#vhid=vt%3D20/docid%3DEH_GQsl_RnIKsYfEAAAAAA%3D%3D&vssid=jobs-detail-viewer,2026-06-10T04:55:58+00:00,2026-06-13T12:24:50+00:00,"bucket: B_APPLY_SOON; internship/practical training role; core role keyword: data analytics intern, analytics intern; analytics skill match: sql, analytics, data visualization; location priority: Selangor; priority city: Petaling Jaya; date not stated; keep for manual confirmation; Tier-1 target company; has apply link; aggregator/low-signal source; manually verify before applying; student/entry-level friendly; resume skill fit: sql, analytics, data visualization; posted within 14 days"
ce3643af2d58966283ffc69e,B_APPLY_SOON,Apply within 48 hours after quick verification.,,,,,,,,61,Datamicron Systems Sdn Bhd,Internship Data Science Intern,"Puchong, Selangor",Selangor,jsearch,https://my.hiredly.com/jobs/jobs-malaysia-datamicron-systems-sdn-bhd-job-internship-data-science-intern,https://www.google.com/search?q=jobs&gl=my&hl=en&udm=8#vhid=vt%3D20/docid%3DpqRXz8ZSplHOM4_XAAAAAA%3D%3D&vssid=jobs-detail-viewer,2026-06-13T12:24:50+00:00,2026-06-13T12:24:50+00:00,bucket: B_APPLY_SOON; internship/practical training role; core role keyword: data science intern; location priority: Selangor; priority city: Puchong; date not stated; keep for manual confirmation; Tier-1 target company; has apply link; trusted job board source; posted within 3 days
d5040dd78ae99bbbdef497cd,B_APPLY_SOON,Apply within 48 hours after quick verification.,,,,,,,,61,Hiredly,Internship Data & AI Intern,"Petaling Jaya, Selangor",Selangor,jsearch,https://my.hiredly.com/jobs/jobs-malaysia-hiredly-job-internship-data-ai-intern,https://www.google.com/search?q=jobs&gl=my&hl=en&udm=8#vhid=vt%3D20/docid%3DapToD4u-fQs7YV8fAAAAAA%3D%3D&vssid=jobs-detail-viewer,2026-06-07T14:27:17+00:00,2026-06-13T12:24:50+00:00,"bucket: B_APPLY_SOON; internship/practical training role; adjacent analytics role keyword: data science, analytics; analytics skill match: sql, python, analytics; location priority: Selangor; priority city: Petaling Jaya; date not stated; keep for manual confirmation; small/unknown company kept for mass-apply strategy; has apply link; trusted job board source; resume skill fit: sql, python, analytics; posted within 45 days"
d6d76aa2a497e4b5f401bb63,B_APPLY_SOON,Apply within 48 hours after quick verification.,,,,,,,,61,DXC Technology,Power BI & Data Analytics Intern - Hybrid Start Summer,Federal Territory of Kuala Lumpur,Selangor,jsearch,https://my.expertini.com/job/power-bi-data-analytics-intern-hybrid-start-summer-kuala-lumpur-dxc-technology-386-4257525/,https://www.google.com/search?q=jobs&gl=my&hl=en&udm=8#vhid=vt%3D20/docid%3Dyb2lNPdaVW-GbpdHAAAAAA%3D%3D&vssid=jobs-detail-viewer,2026-06-06T04:34:56+00:00,2026-06-13T12:24:50+00:00,"bucket: B_APPLY_SOON; internship/practical training role; core role keyword: data analyst intern, data analytics intern, data analyst internship; analytics skill match: excel, power bi, analytics; location priority: Selangor; priority city: Petaling Jaya, Kuala Lumpur; mentions Aug-Nov 2026 target window; small/unknown company kept for mass-apply strategy; has apply link; aggregator/low-signal source; manually verify before applying; student/entry-level friendly; resume skill fit: excel, power bi, analytics; posted within 14 days"
bb889a2fcb1d7f5e953c9a46,B_APPLY_SOON,Apply within 48 hours after quick verification.,,,,,,,,60,Grab,"Intern, Data Scientist (Analytics)","Petaling Jaya, Selangor",Selangor,jsearch,https://www.grab.careers/en/jobs/744000128207779/intern-data-scientist-analytics/,https://www.google.com/search?q=jobs&gl=my&hl=en&udm=8#vhid=vt%3D20/docid%3DXQyqZTWg-RP0JI6RAAAAAA%3D%3D&vssid=jobs-detail-viewer,2026-06-13T06:29:44+00:00,2026-06-13T12:24:50+00:00,"bucket: B_APPLY_SOON; internship/practical training role; adjacent analytics role keyword: data analytics, dashboard, data science; analytics skill match: excel, sql, tableau, python; location priority: Selangor; priority city: Petaling Jaya; duration likely fits 3-month industrial training; mentions Aug-Nov 2026 target window; Tier-1 target company; has apply link; official/ATS source likely higher reliability; resume skill fit: excel, sql, tableau; posted within 45 days; seniority/permanent/experience red flag; negative keyword: senior, manager, lead"
3a94c7ddf71af7ba5cbc5a56,B_APPLY_SOON,Apply within 48 hours after quick verification.,,,,,,,,60,WPP Media,Analytics Intern,"Kuala Lumpur, Federal Territory of Kuala Lumpur",Kuala Lumpur,jsearch,https://wpp.careersitecloud.com/job-69b943760f71156bdc42ca95-analytics-intern-kuala-lumpur,https://www.google.com/search?q=jobs&gl=my&hl=en&udm=8#vhid=vt%3D20/docid%3D7j-TUR7lC6bPMFrIAAAAAA%3D%3D&vssid=jobs-detail-viewer,2026-06-05T15:19:08+00:00,2026-06-13T12:24:50+00:00,"bucket: B_APPLY_SOON; internship/practical training role; core role keyword: analytics intern; analytics skill match: sql, power bi, python, dashboard; location priority: Kuala Lumpur; priority city: Kuala Lumpur; longer internship may still be acceptable; date not stated; keep for manual confirmation; small/unknown company kept for mass-apply strategy; has apply link; official/ATS source likely higher reliability; student/entry-level friendly; resume skill fit: sql, power bi, python; posted within 45 days; negative keyword: lead; may target Masters-level candidate"
fe5c42369e3bc66c82a4c891,B_APPLY_SOON,Apply within 48 hours after quick verification.,,,,,,,,60,Organon,FP&A Intern(6-9 months),"Kuala Lumpur, Federal Territory of Kuala Lumpur",Kuala Lumpur,jsearch,https://my.linkedin.com/jobs/view/fp-a-intern-6-9-months-at-organon-4411431907,https://www.google.com/search?q=jobs&gl=my&hl=en&udm=8#vhid=vt%3D20/docid%3DdaffE5g7SSj_uA4hAAAAAA%3D%3D&vssid=jobs-detail-viewer,2026-06-13T06:29:44+00:00,2026-06-13T12:24:50+00:00,"bucket: B_APPLY_SOON; internship/practical training role; adjacent analytics role keyword: data analytics, power bi, dashboard; analytics skill match: excel, power bi, dashboard, reporting; location priority: Kuala Lumpur; priority city: Kuala Lumpur; date not stated; keep for manual confirmation; small/unknown company kept for mass-apply strategy; has apply link; trusted job board source; student/entry-level friendly; resume skill fit: excel, power bi, dashboard; posting date unknown; negative keyword: lead"
f989ff72ca59d1df27a4a2a9,B_APPLY_SOON,Apply within 48 hours after quick verification.,,,,,,,,59,Shopee,"Data Analyst Intern, Buyer & Marketing - Business Intelligence (Jan- Apr 2026)",Malaysia,Malaysia,jsearch,https://www.foundit.my/job/data-analyst-intern-buyer-marketing-business-intelligence-jan-apr-2026-shopee-malaysia-38188094,https://www.google.com/search?q=jobs&gl=my&hl=en&udm=8#vhid=vt%3D20/docid%3DqSsO4VND1vUNx90dAAAAAA%3D%3D&vssid=jobs-detail-viewer,2026-06-09T15:38:12+00:00,2026-06-13T12:24:50+00:00,"bucket: B_APPLY_SOON; internship/practical training role; core role keyword: data analyst intern; analytics skill match: dashboard, analytics, business intelligence, statistics; location priority: Malaysia; date not stated; keep for manual confirmation; Tier-1 target company; has apply link; trusted job board source; student/entry-level friendly; resume skill fit: dashboard, analytics, business intelligence; posting date unknown"
8fe0cd1855f400efa3ef318b,B_APPLY_SOON,Apply within 48 hours after quick verification.,,,,,,,,59,Grab,Data Scientist Intern — Marketing AI,"Petaling Jaya, Selangor",Selangor,jsearch,https://my.trabajo.org/job-2267-483275c6bc17ec0dfba6c33c6f2cdf47,https://www.google.com/search?q=jobs&gl=my&hl=en&udm=8#vhid=vt%3D20/docid%3D3KuP5uwmLWwePUzkAAAAAA%3D%3D&vssid=jobs-detail-viewer,2026-06-13T04:58:44+00:00,2026-06-13T12:24:50+00:00,"bucket: B_APPLY_SOON; internship/practical training role; adjacent analytics role keyword: data science, marketing analytics, analytics; analytics skill match: sql, reporting, analytics; location priority: Selangor; priority city: Petaling Jaya; date not stated; keep for manual confirmation; Tier-1 target company; has apply link; aggregator/low-signal source; manually verify before applying; student/entry-level friendly; resume skill fit: sql, reporting, analytics; posted within 14 days"
5172d45c1a0a0e3a4c222935,B_APPLY_SOON,Apply within 48 hours after quick verification.,,,,,,,,59,Grab,Data Scientist Intern — Marketing AI & MarTech Analytics,"Petaling Jaya, Selangor",Selangor,jsearch,https://my.expertini.com/job/data-scientist-intern-marketing-ai-martech-analytics-petaling-jaya-grab-386-4240837/,https://www.google.com/search?q=jobs&gl=my&hl=en&udm=8#vhid=vt%3D20/docid%3DaRJXTMHMV1VyLjo6AAAAAA%3D%3D&vssid=jobs-detail-viewer,2026-06-07T14:27:17+00:00,2026-06-13T12:24:50+00:00,"bucket: B_APPLY_SOON; internship/practical training role; adjacent analytics role keyword: data science, marketing analytics, analytics; analytics skill match: sql, reporting, analytics; location priority: Selangor; priority city: Petaling Jaya; date not stated; keep for manual confirmation; Tier-1 target company; has apply link; aggregator/low-signal source; manually verify before applying; student/entry-level friendly; resume skill fit: sql, reporting, analytics; posted within 14 days"
