bucket,recommended_action,score,company,title,location,state,source,apply_url,source_url,posted_at,first_seen_at,last_seen_at,reasons,job_id
B_APPLY_SOON,Apply within 48 hours after quick verification.,63,AXA,Data Analyst - Identity Access Management (Internship),"Puchong, Selangor",Selangor,jsearch,https://careers.axa.com/careers-home/jobs/19072?lang=en-us,https://www.google.com/search?q=jobs&gl=my&hl=en&udm=8#vhid=vt%3D20/docid%3DIrmbm5Kn56uDVTRXAAAAAA%3D%3D&vssid=jobs-detail-viewer,,2026-06-05T07:48:27+00:00,2026-06-07T05:05:14+00:00,"bucket: B_APPLY_SOON; internship/practical training role; adjacent analytics role keyword: data analyst, power bi, dashboard; analytics skill match: excel, sql, power bi, tableau; location priority: Selangor; priority city: Puchong; date not stated; keep for manual confirmation; Tier-2 established company; has apply link; official/ATS source likely higher reliability; student/entry-level friendly; resume skill fit: excel, sql, power bi; posting date unknown; negative keyword: lead; may target Masters-level candidate",d80326c80f2414efccc91082
B_APPLY_SOON,Apply within 48 hours after quick verification.,63,Petronas Ventures,BI & Data Analytics Intern: Insightful Reporting,"Kuala Lumpur, Federal Territory of Kuala Lumpur",Kuala Lumpur,jsearch,https://my.trabajo.org/job-2267-80d1487ec7a955e0ac4e5f7fa47fdc7a,https://www.google.com/search?q=jobs&gl=my&hl=en&udm=8#vhid=vt%3D20/docid%3DxR7nWvdwmjnaUv1mAAAAAA%3D%3D&vssid=jobs-detail-viewer,2026-06-03T00:00:00.000Z,2026-06-05T15:19:08+00:00,2026-06-07T05:05:14+00:00,"bucket: B_APPLY_SOON; internship/practical training role; core role keyword: data analytics intern, business intelligence intern, analytics intern; analytics skill match: power bi, reporting, analytics, business intelligence; location priority: Kuala Lumpur; priority city: Kuala Lumpur; date not stated; keep for manual confirmation; Tier-1 target company; has apply link; aggregator/low-signal source; manually verify before applying; student/entry-level friendly; resume skill fit: power bi, reporting, analytics; posted within 14 days; negative keyword: lead",d85cce0f352498176bc6218f
B_APPLY_SOON,Apply within 48 hours after quick verification.,61,Petronas Ventures,AI & Data Analytics Intern - Power BI Insights,"Kuala Lumpur, Federal Territory of Kuala Lumpur",Kuala Lumpur,jsearch,https://my.trabajo.org/job-2267-f9a8232008e0dd13f1bf411d334ae70c,https://www.google.com/search?q=jobs&gl=my&hl=en&udm=8#vhid=vt%3D20/docid%3D1NRX1dq7S1uDzIsmAAAAAA%3D%3D&vssid=jobs-detail-viewer,2026-06-02T00:00:00.000Z,2026-06-05T15:19:08+00:00,2026-06-07T05:05:14+00:00,"bucket: B_APPLY_SOON; internship/practical training role; core role keyword: data analytics intern, analytics intern; analytics skill match: power bi, dashboard, analytics; location priority: Kuala Lumpur; priority city: Kuala Lumpur; date not stated; keep for manual confirmation; Tier-1 target company; has apply link; aggregator/low-signal source; manually verify before applying; student/entry-level friendly; resume skill fit: power bi, dashboard, analytics; posted within 14 days; negative keyword: lead",5074a7e3d8f0761f16528454
B_APPLY_SOON,Apply within 48 hours after quick verification.,60,WPP Media,Analytics Intern,"Kuala Lumpur, Federal Territory of Kuala Lumpur",Kuala Lumpur,jsearch,https://wpp.careersitecloud.com/job-69b943760f71156bdc42ca95-analytics-intern-kuala-lumpur,https://www.google.com/search?q=jobs&gl=my&hl=en&udm=8#vhid=vt%3D20/docid%3D7j-TUR7lC6bPMFrIAAAAAA%3D%3D&vssid=jobs-detail-viewer,2026-05-18T00:00:00.000Z,2026-06-05T15:19:08+00:00,2026-06-07T05:05:14+00:00,"bucket: B_APPLY_SOON; internship/practical training role; core role keyword: analytics intern; analytics skill match: sql, power bi, python, dashboard; location priority: Kuala Lumpur; priority city: Kuala Lumpur; longer internship may still be acceptable; date not stated; keep for manual confirmation; small/unknown company kept for mass-apply strategy; has apply link; official/ATS source likely higher reliability; student/entry-level friendly; resume skill fit: sql, power bi, python; posted within 45 days; negative keyword: lead; may target Masters-level candidate",3a94c7ddf71af7ba5cbc5a56
B_APPLY_SOON,Apply within 48 hours after quick verification.,60,Evonik Malaysia Sdn Bhd,Intern - Business Analytics and Reporting Center,"Petaling Jaya, Selangor",Selangor,jsearch,https://my.trabajo.org/job-3400-c905b67c3a81cb1b227fe6c70817f7bf,https://www.google.com/search?q=jobs&gl=my&hl=en&udm=8#vhid=vt%3D20/docid%3Du0HGnj1i2PUmzj62AAAAAA%3D%3D&vssid=jobs-detail-viewer,2026-06-01T00:00:00.000Z,2026-06-06T14:15:43+00:00,2026-06-07T05:05:14+00:00,"bucket: B_APPLY_SOON; internship/practical training role; adjacent analytics role keyword: data analytics, power bi, business analyst; analytics skill match: sql, power bi, tableau, python; location priority: Selangor; priority city: Petaling Jaya; duration likely fits 3-month industrial training; small/unknown company kept for mass-apply strategy; has apply link; aggregator/low-signal source; manually verify before applying; student/entry-level friendly; resume skill fit: sql, power bi, tableau; posted within 14 days",db9395ec1f9c312fe2832824
B_APPLY_SOON,Apply within 48 hours after quick verification.,59,Elanco,Finance Data Analytics Intern – Power BI Dashboards,"Petaling Jaya, Selangor",Selangor,jsearch,https://my.trabajo.org/job-2267-4a065e60aad41fe038350280a7644068,https://www.google.com/search?q=jobs&gl=my&hl=en&udm=8#vhid=vt%3D20/docid%3D7kYENWCGICrO2mV4AAAAAA%3D%3D&vssid=jobs-detail-viewer,2026-06-04T00:00:00.000Z,2026-06-06T04:34:56+00:00,2026-06-07T05:05:14+00:00,"bucket: B_APPLY_SOON; internship/practical training role; core role keyword: data analytics intern, analytics intern; analytics skill match: power bi, dashboard, analytics; location priority: Selangor; priority city: Petaling Jaya; date not stated; keep for manual confirmation; small/unknown company kept for mass-apply strategy; has apply link; aggregator/low-signal source; manually verify before applying; student/entry-level friendly; resume skill fit: power bi, dashboard, analytics; posted within 3 days",dac4c19ddf997805e0646a0c
B_APPLY_SOON,Apply within 48 hours after quick verification.,59,"Keysight Technologies, Inc.",Data Analytics Intern,"Bayan Lepas, Penang",Penang,jsearch,https://my.trabajo.org/job-3400-604b5a03641d6344bd723237c487f76c,https://www.google.com/search?q=jobs&gl=my&hl=en&udm=8#vhid=vt%3D20/docid%3Doea54-e-aWBdcIvKAAAAAA%3D%3D&vssid=jobs-detail-viewer,2026-05-31T00:00:00.000Z,2026-06-05T15:19:08+00:00,2026-06-07T05:05:14+00:00,"bucket: B_APPLY_SOON; internship/practical training role; core role keyword: data analytics intern, analytics intern; analytics skill match: excel, sql, power bi, python; location priority: Penang; priority city: Bayan Lepas; date not stated; keep for manual confirmation; Tier-1 target company; has apply link; aggregator/low-signal source; manually verify before applying; resume skill fit: excel, sql, power bi; posted within 14 days",700d8cd0b906bf44082b900c
B_APPLY_SOON,Apply within 48 hours after quick verification.,57,Shopee,"Data Analyst Intern - Customer Service, Regional Operations (Summer 2026)",Malaysia,Malaysia,jsearch,https://www.foundit.my/job/data-analyst-intern-customer-service-regional-operations-summer-2026-shopee-malaysia-43900743,https://www.google.com/search?q=jobs&gl=my&hl=en&udm=8#vhid=vt%3D20/docid%3DbPVgU1Kq_MlcAId0AAAAAA%3D%3D&vssid=jobs-detail-viewer,,2026-06-05T07:48:27+00:00,2026-06-07T05:05:14+00:00,"bucket: B_APPLY_SOON; internship/practical training role; core role keyword: data analyst intern; analytics skill match: excel, sql; location priority: Malaysia; Summer 2026 mention; verify if it can cover Aug-Nov requirement; date not stated; keep for manual confirmation; Tier-1 target company; has apply link; trusted job board source; student/entry-level friendly; resume skill fit: excel, sql; posting date unknown",2edb74bbf862c6284563032b
B_APPLY_SOON,Apply within 48 hours after quick verification.,57,Lean Giap Group Of Companies,"Data Analytics Intern: Build Pipelines, Scrapers","George Town, Penang",Penang,jsearch,https://my.trabajo.org/job-2267-14be077a06510bcbbd56df60fad22217,https://www.google.com/search?q=jobs&gl=my&hl=en&udm=8#vhid=vt%3D20/docid%3D75Hq2t2KVCZwpwV2AAAAAA%3D%3D&vssid=jobs-detail-viewer,2026-06-02T00:00:00.000Z,2026-06-07T05:05:14+00:00,2026-06-07T05:05:14+00:00,"bucket: B_APPLY_SOON; internship/practical training role; core role keyword: data analyst intern, data analytics intern, analytics intern; analytics skill match: power bi, python, dashboard, analytics; location priority: Penang; priority city: George Town; date not stated; keep for manual confirmation; small/unknown company kept for mass-apply strategy; has apply link; aggregator/low-signal source; manually verify before applying; student/entry-level friendly; resume skill fit: power bi, python, dashboard; posted within 14 days",5b30316ad732f9c43a426c15
B_APPLY_SOON,Apply within 48 hours after quick verification.,57,Petronas Ventures,AI Analytics Intern: Power BI Dashboards & Data Insights,"Kuala Lumpur, Federal Territory of Kuala Lumpur",Kuala Lumpur,jsearch,https://my.jooble.org/jdp/6519788413106727113,https://www.google.com/search?q=jobs&gl=my&hl=en&udm=8#vhid=vt%3D20/docid%3DN9HYlV9uAGTIotWSAAAAAA%3D%3D&vssid=jobs-detail-viewer,2026-06-04T00:00:00.000Z,2026-06-06T04:34:56+00:00,2026-06-07T05:05:14+00:00,"bucket: B_APPLY_SOON; internship/practical training role; core role keyword: analytics intern; analytics skill match: power bi, dashboard, analytics; location priority: Kuala Lumpur; priority city: Kuala Lumpur; date not stated; keep for manual confirmation; Tier-1 target company; has apply link; aggregator/low-signal source; manually verify before applying; student/entry-level friendly; resume skill fit: power bi, dashboard, analytics; posted within 3 days; negative keyword: lead",f5ca424a005e3fcd47493d35
